FirstName,LastName,Email,Address,Subscription Plan,Monthly Streams Limit,Cost,Credit Card Number,ExpDate,Song Title,Artist Name,Album Title,Genre,Device,Song Length (min),Playlist Name,Playlist Position,Date,Over Limit,Pay-Per-Stream Fee
Alice,King,ashdr.aliceking@music.com,"1722 Ash Dr, WA",Premium,100,9.99,2222-2244-4262-8948,10/29/2025,Till I Found You,Phil Wickham,Living Hope,Metal,Tablet,5,Study,58,1/17/2024 14:49:21,No,0
Carol,King,ashdr.carolking@music.com,"1933 Ash Dr, NY",Basic,50,4.99,5077-9147-5928-5191,11/28/2025,Rescue,Lauren Daigle,Look Up Child,Rock,Desktop,4,Focus,5,1/29/2024 14:51:19,No,0
Dave,Anderson,ashdr.daveanderson@music.com,"5174 Ash Dr, TX",Basic,50,4.99,5532-2850-1011-8747,11/23/2025,Alive & Breathing,Matt Maher,Alive & Breathing,Country,Mobile,4,Focus,47,1/31/2024 14:51:09,No,0
Eve,Thomas,ashdr.evethomas@music.com,"2275 Ash Dr, PA",Premium,100,9.99,7671-4135-8764-3505,11/18/2025,See a Victory,Elevation Worship,At Midnight,Blues,Tablet,6,Sleep,28,1/15/2024 14:50:23,No,0
Leo,Scott,ashdr.leoscott@music.com,"7852 Ash Dr, NC",Premium,100,9.99,7114-7549-5977-9027,11/13/2025,Battle Belongs,Phil Wickham,Hymn of Heaven,Blues,Desktop,4,Party,43,1/5/2024 14:49:28,No,0
Oscar,Lee,ashdr.oscarlee@music.com,"2306 Ash Dr, NC",Free,10,0,1553-8665-5016-2989,11/18/2025,Hold On to Me,Lauren Daigle,Hold On to Me,Rock,Tablet,4,Sleep,56,1/2/2024 14:48:49,No,0
Rob,Anderson,ashdr.robanderson@music.com,"2993 Ash Dr, NC",Basic,50,4.99,2824-7641-5512-6868,11/13/2025,See a Victory,Elevation Worship,At Midnight,Hip-Hop,Mobile,6,Sleep,86,1/3/2024 14:49:56,No,0
Sara,Davis,ashdr.saradavis@music.com,"5461 Ash Dr, NC",Premium,100,9.99,2200-1758-8317-4470,11/8/2025,Known,Tauren Wells,Hills and Valleys,Hip-Hop,Desktop,4,Focus,43,1/31/2024 14:51:10,No,0
Tom,Perez,ashdr.tomperez@music.com,"7793 Ash Dr, NC",Free,10,0,8303-4336-2400-9279,11/13/2025,Raise a Hallelujah,Bethel Music,Victory,Classical,Mobile,7,Workout,28,1/12/2024 14:52:54,No,0
Frank,Scott,birchst.frankscott@music.com,"3683 Birch St, FL",Free,10,0,9705-8555-9659-9177,11/18/2025,Known,Tauren Wells,Hills and Valleys,Hip-Hop,Mobile,4,Workout,57,1/12/2024 14:48:47,Yes,0.25
Frank,Taylor,birchst.franktaylor@music.com,"3369 Birch St, TX",Free,10,0,5930-4545-1751-5287,11/23/2025,Way Maker,Leeland,Better Word,Hip-Hop,Tablet,8,Chill,28,1/9/2024 14:52:29,No,0
Grace,Johnson,birchst.gracejohnson@music.com,"9979 Birch St, NY",Free,10,0,4580-1693-1324-4885,11/28/2025,Gratitude,Brandon Lake,House of Miracles,Blues,Tablet,7,Relax,42,1/4/2024 14:51:21,No,0
Mona,King,birchst.monaking@music.com,"6929 Birch St, WA",Free,10,0,7211-7512-8835-4689,12/3/2025,Gratitude,Brandon Lake,House of Miracles,Rock,Tablet,7,Focus,8,1/10/2024 14:52:07,Yes,0.25
Nina,Anderson,birchst.ninaanderson@music.com,"6295 Birch St, NC",Basic,50,4.99,8280-8003-7386-1276,11/28/2025,Known,Tauren Wells,Hills and Valleys,Metal,Tablet,4,Party,29,1/21/2024 14:52:13,No,0
Oscar,Perez,birchst.oscarperez@music.com,"4343 Birch St, PA",Premium,100,9.99,2164-5641-7902-2782,11/23/2025,Rescue,Lauren Daigle,Look Up Child,Metal,Tablet,4,Relax,88,1/11/2024 14:50:23,No,0
Quinn,Johnson,birchst.quinnjohnson@music.com,"685 Birch St, NC",Premium,100,9.99,9559-3064-9623-6585,11/18/2025,Chain Breaker,Zach Williams,Chain Breaker,Rock,Desktop,3,Study,93,1/29/2024 14:51:02,No,0
Tom,Clark,birchst.tomclark@music.com,"190 Birch St, IL",Free,10,0,5941-6476-1709-8329,11/23/2025,Raise a Hallelujah,Bethel Music,Victory,Hip-Hop,Desktop,7,Sleep,80,1/24/2024 14:52:52,No,0
Frank,Brown,cedarave.frankbrown@music.com,"963 Cedar Ave, TX",Free,10,0,7454-4151-4915-2291,11/28/2025,Reckless Love,Cory Asbury,Reckless Love,Country,Desktop,5,Focus,13,1/2/2024 14:49:55,No,0
Frank,Lee,cedarave.franklee@music.com,"5178 Cedar Ave, MI",Premium,100,9.99,2283-1430-5646-1597,11/23/2025,Till I Found You,Phil Wickham,Living Hope,Metal,Desktop,5,Party,90,1/28/2024 14:49:09,No,0
Grace,Johnson,cedarave.gracejohnson@music.com,"6479 Cedar Ave, MI",Premium,100,9.99,6657-2264-8099-5152,11/18/2025,See a Victory,Elevation Worship,At Midnight,Reggae,Mobile,6,Workout,18,1/11/2024 14:51:28,No,0
Leo,Anderson,cedarave.leoanderson@music.com,"8697 Cedar Ave, MI",Free,10,0,8820-8665-5969-5392,11/23/2025,Way Maker,Leeland,Better Word,Reggae,Desktop,8,Workout,93,1/2/2024 14:48:48,Yes,0.25
Nina,Lee,cedarave.ninalee@music.com,"9535 Cedar Ave, MI",Premium,100,9.99,5814-4837-1921-8424,11/18/2025,See a Victory,Elevation Worship,At Midnight,Rock,Desktop,6,Chill,57,1/2/2024 14:52:29,No,0
Sara,King,cedarave.saraking@music.com,"9058 Cedar Ave, MI",Free,10,0,9871-5380-4597-1352,11/23/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Jazz,Desktop,7,Road Trip,67,1/1/2024 14:53:08,No,0
Alice,Clark,elmst.aliceclark@music.com,"1472 Elm St, TX",Basic,50,4.99,1366-6883-4894-9911,11/18/2025,King of Kings,Hillsong Worship,Awake,Jazz,Desktop,5,Sleep,67,1/4/2024 14:49:58,No,0
Dave,Perez,elmst.daveperez@music.com,"664 Elm St, MI",Premium,100,9.99,5222-1305-8990-1005,11/13/2025,Raise a Hallelujah,Bethel Music,Victory,Electronic,Mobile,7,Study,96,1/24/2024 14:48:44,No,0
Frank,Lopez,elmst.franklopez@music.com,"6322 Elm St, MI",Premium,100,9.99,5537-7136-8926-8074,11/8/2025,You Say,Lauren Daigle,Look Up Child,Blues,Tablet,4,Workout,88,1/19/2024 14:51:47,No,0
Grace,Lee,elmst.gracelee@music.com,"7316 Elm St, NY",Free,10,0,1775-4944-3468-4966,11/13/2025,Another in the Fire,Hillsong UNITED,People,Electronic,Mobile,7,Study,1,1/31/2024 14:51:45,No,0
Hank,Anderson,elmst.hankanderson@music.com,"7691 Elm St, FL",Basic,50,4.99,4506-1187-4397-6041,11/8/2025,You Say,Lauren Daigle,Look Up Child,Jazz,Desktop,4,Relax,8,1/8/2024 14:49:45,No,0
Hank,Smith,elmst.hanksmith@music.com,"9776 Elm St, MI",Free,10,0,2461-7269-1033-5501,11/13/2025,See a Victory,Elevation Worship,At Midnight,Hip-Hop,Tablet,6,Focus,72,1/18/2024 14:53:04,No,0
Ivy,Scott,elmst.ivyscott@music.com,"1415 Elm St, NY",Basic,50,4.99,1960-1499-8780-8772,11/8/2025,Reckless Love,Cory Asbury,Reckless Love,Blues,Tablet,5,Sleep,90,1/8/2024 14:50:33,No,0
Jack,King,elmst.jackking@music.com,"8383 Elm St, CA",Free,10,0,9094-2469-2946-9716,11/13/2025,Rescue,Lauren Daigle,Look Up Child,Hip-Hop,Tablet,4,Focus,57,1/3/2024 14:50:14,Yes,0.25
Jack,King,elmst.jackking@music.com,"8383 Elm St, CA",Basic,50,4.99,2469-1607-4726-1273,11/8/2025,Raise a Hallelujah,Bethel Music,Victory,Metal,Tablet,7,Road Trip,30,1/15/2024 14:50:49,No,0
Karen,King,elmst.karenking@music.com,"4449 Elm St, TX",Free,10,0,4906-3983-9804-6956,11/13/2025,Way Maker,Leeland,Better Word,Jazz,Mobile,8,Road Trip,56,1/20/2024 14:51:22,No,0
Mona,Smith,elmst.monasmith@music.com,"8572 Elm St, FL",Basic,50,4.99,3266-2401-5061-2305,11/8/2025,Gratitude,Brandon Lake,House of Miracles,Jazz,Tablet,7,Relax,64,1/2/2024 14:50:20,No,0
Quinn,Clark,elmst.quinnclark@music.com,"8984 Elm St, MI",Premium,100,9.99,2515-2742-6546-3722,11/3/2025,Gratitude,Brandon Lake,House of Miracles,Rock,Tablet,7,Study,86,1/8/2024 14:51:53,No,0
Quinn,Smith,elmst.quinnsmith@music.com,"2022 Elm St, NY",Basic,50,4.99,6584-4020-2851-6866,10/29/2025,Raise a Hallelujah,Bethel Music,Victory,Blues,Desktop,7,Workout,45,1/26/2024 14:50:36,No,0
Rob,Smith,elmst.robsmith@music.com,"6527 Elm St, OH",Basic,50,4.99,9677-2681-7307-9867,10/24/2025,Hold On to Me,Lauren Daigle,Hold On to Me,Jazz,Desktop,4,Chill,40,1/8/2024 14:49:58,No,0
Alice,Wilson,hickoryct.alicewilson@music.com,"4329 Hickory Ct, IL",Free,10,0,2307-5130-9879-8698,10/29/2025,Reckless Love,Cory Asbury,Reckless Love,Blues,Desktop,5,Road Trip,18,1/24/2024 14:51:32,No,0
